Part Code,Series,Description,UOM,Group Code,Group Name,Class Code,Class Name,Activity Code,Activity Name,,,
101.12454,12454,MASTERSEAL P 101,Pcs,101,Waterproofing,1,Waterproofing,3,Structure,,,
101.12455,12455,MASTERSEAL NP 472 BEIGE,Pcs,101,Waterproofing,1,Waterproofing,3,Structure,,,
101.12476,12476,MASTERSEAL 930 150MMX1MMX20M,Rolls,101,Waterproofing,2,Waterproofing Sundries,3,Structure,,,
101.12477,12477,MASTERBRACE ADH 2200,Bag,101,Waterproofing,2,Waterproofing Sundries,3,Structure,,,
101.14074,14074,MASTERSEAL 930 - 150MMX2MMX20M,Rolls,101,Waterproofing,2,Waterproofing Sundries,3,Structure,,,
10101.10028,10028,AQUASEAL GLUE,Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.10046,10046,BITUMEN (200 LTR),Litre,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.10431,10431,RUBBERISED BITUMEN,Litre,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.10686,10686,SETSEAL B,Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.10951,10951,ZNR WP PLUG,Pkts,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.10959,10959,SET PLUG,Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.10988,10988,ALUMINIUM FLASHING 10X70X0.9MMX 2.44MTR,Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11011,11011,WATERPROOFING SUNDRIES,Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11033,11033,FIBER MESH,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11087,11087,MC-FIX ST,Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11131,11131,BITUMODE,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11132,11132,BITUMEN ROLL,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11533,11533,SIKA TOP 107 SEAL QA (AB) GREY 25KG,Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11557,11557,HYPERSEAL DPS - 200 (600ML),Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11558,11558,HYPERSEAL DP2010H (RED) 200MMX10MM,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11647,11647,KRYSTOL INTERNAL MEMBRANE (KIM),Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11854,11854,FLEXSEAL C100,Bag,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11873,11873,KEYFIX E,Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11874,11874,KEYFIX GUN,Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11906,11906,KRYSTOL REPAIR GROUT 25KG,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11909,11909,PREPRUFE® CJ TAPE HC,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11910,11910,BITUTHENE® LM,Dr,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11911,11911,PREPRUFE TAPE,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
