Site,PO,ID No,Vendor,Value
149,10000,39020,Ahmad Samir & Group,1000
155,10001,10159,KG Plastic,320
155,10002,10160,Lemax Electrical & Mechanical Trading,497.5
152,10003,10130,Khalifa Steel Industries Co,39420
152,10004,10130,Khalifa Steel Industries Co,79150
152,10018,11285,Olive Office Trading,21830
155,10021,10130,Khalifa Steel Industries Co,14210
155,10022,10245,Don Construction Products - Qatar W.L.L,500
155,10023,10130,Khalifa Steel Industries Co,79150
155,10024,10245,Don Construction Products - Qatar W.L.L,20000
152,10025,10130,Khalifa Steel Industries Co,79150
155,10029,10219,Medford Trading W.L.L,2100
152,10030,19999,Cash,200
152,10031,10245,Don Construction Products - Qatar W.L.L,500
152,10033,11254,New Tools and Bolts Trading,880
155,10034,11334,Chemcon Contruction Chemicals,1400
123,10036,19999,Cash,415
152,10037,19999,Cash,0
152,10038,19999,Cash,98
152,10039,19999,Cash,45
152,10040,10239,Abdel Latif,97258
129,10041,19999,Cash,188
157,10042,11320,Fahad Bin Abdulla Block & Interlock Factory,20000
155,10043,19999,Cash,1623.02
155,10044,10159,KG Plastic,9471
155,10045,10239,Abdel Latif,7604.7
999,10047,19999,Cash,225
152,10048,19999,Cash,510
169,16166,19999,Cash,490
176,19999,19999,Cash,1640
155,25000,10159,KG Plastic,9471
152,25001,19999,Cash,105
152,25002,10126,Hempel Paints,8891
129,25003,19999,Cash,188
HO,25004,10209,Madar Building Materials,25000
132,25007,19999,Cash,3523
HO,25008,19999,Cash,623
155,25009,19999,Cash,1605.02
129,25010,19999,Cash,188
155,25011,10239,Abdel Latif,7604.7
123,25012,19999,Cash,415
999,25013,19999,Cash,225
152,25014,19999,Cash,275
HO,25015,10209,Madar Building Materials,25000
HO,25016,19999,Cash,2730
155,25017,10209,Madar Building Materials,25000
152,25018,19999,Cash,2730
152,25019,10201,Al Asas Factories,1720
152,25020,19999,Cash,1524
152,25021,11254,New Tools and Bolts Trading,515
129,25022,11354,Al Bishri Tranding and Contracting,468
157,25023,19999,Cash,180
152,25024,10245,Don Construction Products - Qatar W.L.L,2200
152,25025,19999,Cash,1000
155,25026,11238,Al Nemir Trading and Contracting,700
155,25027,19999,Cash,108
157,25028,10142,Smeet Ready Mix,2726
152,25029,11254,New Tools and Bolts Trading,550
152,25030,10134,Nabina Building Materials,400
152,25033,30173,Al Hazem Stainless Steel,233736
157,25034,30214,Carawan W.Proofing & Projects Co.,11850
HO,25035,19999,Cash,187
152,25036,10201,Al Asas Factories,4837.5
152,25037,11254,New Tools and Bolts Trading,1295
157,25038,19999,Cash,2200
HO,25039,19999,Cash,5270
HO,25040,19999,Cash,525
157,25041,10201,Al Asas Factories,860
155,25042,10245,Don Construction Products - Qatar W.L.L,3500
129,25043,19999,Cash,240
150,25044,19999,Cash,67
155,25045,19999,Cash,1309
152,25046,10245,Don Construction Products - Qatar W.L.L,1800
152,25047,11254,New Tools and Bolts Trading,210
152,25048,19999,Cash,840
155,25049,11318,Aamal Cement Industries W.L.L,4100
159,25050,11228,Printek Computers W.L.L,515
152,25051,19999,Cash,4140
159,25052,19999,Cash,2790
157,25053,19999,Cash,2200
129,25054,19999,Cash,400
155,25055,19999,Cash,0
155,25056,11254,New Tools and Bolts Trading,190
155,25057,19999,Cash,90
159,25058,19999,Cash,946
155,25059,10126,Hempel Paints,4023.9
155,25060,19999,Cash,910
HO,25061,19999,Cash,447
152,25062,10220,Al - Andalus Marble Decor And Granite Co.,7504.8
M4,25063,10235,Al Tofei Trading,512.5
155,25064,19999,Cash,1028
155,25065,19999,Cash,35
155,25066,10209,Madar Building Materials,9427.8
155,25067,19999,Cash,300
159,25068,19999,Cash,151
152,25069,10201,Al Asas Factories,3440
152,25070,11254,New Tools and Bolts Trading,3185
152,25071,11254,New Tools and Bolts Trading,1117
159,25072,19999,Cash,3455
155,25073,11224,Mechelec Intl Trading W.L.L,8330
155,25074,30285,Top Design Decor & Furrniture Co. W.L.L,161750
159,25075,11371,Galaxy Engineering Consultancy,10000
155,25076,30285,Top Design Decor & Furrniture Co. W.L.L,159065.07
155,25077,10160,Lemax Electrical & Mechanical Trading,2032.5
152,25078,10196,Capital Trading Est.,1850
152,25079,10130,Khalifa Steel Industries Co,0
152,25080,10130,Khalifa Steel Industries Co,18000
129,25081,11254,New Tools and Bolts Trading,125
157,25082,30118,Hatif Qatar,120000
HO,25083,19999,Cash,13000
155,25084,11228,Printek Computers W.L.L,595
152,25085,10235,Al Tofei Trading,8000
152,25086,19999,Cash,1400
159,25087,19999,Cash,190
155,25088,19999,Cash,2613.15
152,25089,19999,Cash,255
152,25090,11254,New Tools and Bolts Trading,2045
155,25091,10209,Madar Building Materials,9444
157,25092,30203,Arab Dewatering Survey and Services,9500
155,25093,11318,Aamal Cement Industries W.L.L,6150
155,25094,11254,New Tools and Bolts Trading,2580
155,25095,19999,Cash,345.1
HO,25096,19999,Cash,40
157,25097,11340,Asia Trading Engineering and Services Co.,4900
155,25098,11362,Hafele W.L.L,87185.47
152,25099,10167,Qatari Home Design & Engineering Consultants,20000
152,25100,30176,Aljabor Trading,7400
155,25101,10245,Don Construction Products - Qatar W.L.L,2900
155,25102,11375,Access Equipment Rental and Trading Gulf L.L.C,24500
