ReqNum,PO,Supplier ID,Supplier Name,Project ID,Amount,Order Date,Buyer Name,Entry Person,Open
,10000,39020,Ahmad Samir & Group,149," 1,000.00 ",18-Nov-19,Eng. Ahmed Aboushanab,manager,FALSE
1,10001,10159,KG Plastic,155, 320.00 ,23-Dec-19,Eng. Abdel Hai Al Jamailah,Art,FALSE
3,10002,10160,Lemax Electrical & Mechanical Trading,155, 497.50 ,23-Dec-19,Eng. Abdel Hai Al Jamailah,Gian,FALSE
5,10003,10130,Khalifa Steel Industries Co,152," 39,420.00 ",23-Dec-19,Eng. Abdel Hai Al Jamailah,Art,TRUE
10,10004,10130,Khalifa Steel Industries Co,152," 79,150.00 ",23-Dec-19,Eng. Abdel Hai Al Jamailah,Art,FALSE
2,10018,11285,Olive Office Trading,152," 21,830.00 ",23-Dec-19,Eng. Ahmed Aboushanab,Art,FALSE
9,10021,10130,Khalifa Steel Industries Co,155," 14,210.00 ",23-Dec-19,Eng. Ahmed Aboushanab,Art,FALSE
4,10022,10245,Don Construction Products - Qatar W.L.L,155, 500.00 ,23-Dec-19,Eng. Al Bara Gharaibeh,Gian,FALSE
12,10023,10130,Khalifa Steel Industries Co,155," 79,150.00 ",23-Dec-19,Eng. Abdel Hai Al Jamailah,Art,FALSE
13,10024,10245,Don Construction Products - Qatar W.L.L,155," 20,000.00 ",23-Dec-19,Eng. Abdel Hai Al Jamailah,Art,FALSE
15,10025,10130,Khalifa Steel Industries Co,152," 79,150.00 ",24-Dec-19,Eng. Abdel Hai Al Jamailah,Art,FALSE
19,10029,10219,Medford Trading W.L.L,155," 2,100.00 ",26-Dec-19,Eng. Ahmed Aboushanab,Art,FALSE
,10030,19999,Cash,152, 200.00 ,28-Dec-19,Eng. Abdel Hai Al Jamailah,Art,FALSE
22,10031,10245,Don Construction Products - Qatar W.L.L,152, 500.00 ,28-Dec-19,Eng. Ali Al Mughrabi,Art,FALSE
26,10033,11254,New Tools and Bolts Trading,152, 880.00 ,28-Dec-19,Eng. Ali Al Mughrabi,Art,FALSE
27,10034,11334,Chemcon Contruction Chemicals,155," 1,400.00 ",28-Dec-19,Eng. Ali Al Mughrabi,Art,FALSE
,10036,19999,Cash,123, 415.00 ,29-Dec-19,Eng. Khaled Soltan,Art,FALSE
31,10037,19999,Cash,152, -   ,29-Dec-19,Eng. Ali Al Mughrabi,Gian,FALSE
30,10038,19999,Cash,152, 98.00 ,29-Dec-19,Eng. Ali Al Mughrabi,Gian,FALSE
30,10039,19999,Cash,152, 45.00 ,29-Dec-19,Eng. Ali Al Mughrabi,Gian,FALSE
,10040,10239,Abdel Latif,152," 97,258.00 ",29-Dec-19,Eng. Khaled Soltan,Art,FALSE
,10041,19999,Cash,129, 188.00 ,29-Dec-19,Eng. Al Bara Gharaibeh,Art,FALSE
,10042,11320,Fahad Bin Abdulla Block & Interlock Factory,157," 20,000.00 ",29-Dec-19,Eng. Al Bara Gharaibeh,Gian,FALSE
38,10043,19999,Cash,155," 1,623.02 ",29-Dec-19,Eng. Seif Awwad,Art,FALSE
39,10044,10159,KG Plastic,155," 9,471.00 ",30-Dec-19,Eng. Ahmed Aboushanab,Art,FALSE
,10045,10239,Abdel Latif,155," 7,604.70 ",30-Dec-19,Eng. Abdel Hai Al Jamailah,Art,FALSE
,10047,19999,Cash,999, 225.00 ,30-Dec-19,Eng. Khaled Soltan,Art,FALSE
42,10048,19999,Cash,152, 510.00 ,30-Dec-19,Eng. Ali Al Mughrabi,Gian,FALSE
