PO #,Class Description
46966,Administrative Fees
39666,Administrative Fees
41810,Administrative Fees
53047,Site Related Fees
46966,Administrative Fees
39666,Administrative Fees
46966,Administrative Fees
46966,Administrative Fees
55953,Paint Material
55994,Paint Material
59212,Paint Material
38763,Painting
25537,Finishing Sundries
25579,Finishing Sundries
25536,Finishing Sundries
27178,Granite & Marble
38951,Granite & Marble
59466,Epoxy
25614,Site Consumables
25681,Site Consumables
59051,Site Consumables
25683,Site Consumables
59264,Site Consumables
56244,Site Consumables
56226,Gypsum
55953,Paint Material
55994,Paint Material
25681,Finishing Sundries
59466,Epoxy
56226,Gypsum
55953,Paint Material
59212,Paint Material
55994,Painting Sundries
25614,Finishing Sundries
38605,Site Consumables
56226,Gypsum
25683,Paint Material
55953,Painting Sundries
25614,Site Consumables
25681,Site Consumables
59051,Site Consumables
59212,Site Consumables
59031,Site Consumables
55953,Paint Material
25683,Painting Sundries
59212,Site Consumables
25614,Site Consumables
25683,Painting Sundries
25614,Site Consumables
25681,Site Consumables
59212,Finishing Sundries
38570,Site Consumables
25681,Paint Material
25683,Paint Material
38570,Site Consumables
25614,Site Consumables
59051,Gypsum
25681,Paint Material
25683,Paint Material
59051,Finishing Sundries
38570,Finishing Sundries
25614,Site Consumables
25683,Painting
25681,Painting Sundries
38570,Finishing Sundries
59051,Site Consumables
25681,Painting Sundries
25683,Epoxy
25614,Site Consumables
25683,Painting Sundries
59051,Site Consumables
25683,Painting Sundries
59031,Site Consumables
25614,Site Consumables
25683,Site Consumables
25683,Painting Sundries
59051,Finishing Sundries
25683,Site Consumables
38570,Site Consumables
25683,Site Consumables
38570,Site Consumables
25683,Painting Sundries
38570,Site Consumables
38570,Plaster Work Sundries
25614,Site Consumables
59051,Painting Sundries
38570,Finishing Sundries
59051,Painting Sundries
38570,Finishing Sundries
59051,Site Consumables
59051,Finishing Sundries
59051,Finishing Sundries
38570,Ceramic & Porcelain
59051,Finishing Sundries
59059,Electrical Sundries
25601,Electrical Sundries
59674,Light Fittings
38605,Plumbing & Drainage Sundries
59031,Plumbing & Drainage Sundries
25827,Sanitary Ware
59458,Sanitary Ware
38570,Sanitary Ware
38666,Plumbing
25601,Electrical Sundries
56244,Electrical Sundries
25683,Light Fittings
38570,Plumbing & Drainage Sundries
38605,Plumbing & Drainage Sundries
59031,Plumbing & Drainage Sundries
25827,Sanitary Ware
59458,Sanitary Ware
25614,Heaters
38570,Electrical Sundries
25601,Electrical Sundries
25681,Electrical Sundries
25683,Light Fittings
25827,Plumbing & Drainage Sundries
59031,Plumbing & Drainage Sundries
59458,Sanitary Ware
25601,Electrical Sundries
56244,Electrical Sundries
25827,Plumbing & Drainage Sundries
38570,Plumbing & Drainage Sundries
25601,Electrical Sundries
59051,Electrical Sundries
56244,Light Fittings
38570,Plumbing & Drainage Sundries
59031,Plumbing & Drainage Sundries
25827,Sanitary Ware
59458,Sanitary Ware
55953,Electrical Sundries
25601,Electrical Sundries
59031,Plumbing & Drainage Sundries
25827,Sanitary Ware
59458,Sanitary Ware
25601,Electrical Sundries
59031,Plumbing & Drainage Sundries
59458,Sanitary Ware
59031,Plumbing & Drainage Sundries
59458,Sanitary Ware
25614,Sanitary Ware
59458,Sanitary Ware
38570,Plumbing & Drainage Sundries
59031,Plumbing & Drainage Sundries
59458,Sanitary Ware
59031,Electrical Sundries
25614,Plumbing & Drainage Sundries
38570,Plumbing & Drainage Sundries
25614,Plumbing & Drainage Sundries
38570,Plumbing & Drainage Sundries
59051,Electrical Sundries
38570,Plumbing & Drainage Sundries
59031,Plumbing & Drainage Sundries
25614,Electrical Sundries
38570,Plumbing & Drainage Sundries
25614,Plumbing & Drainage Sundries
59051,Plumbing & Drainage Sundries
59051,Plumbing & Drainage Sundries
59051,Plumbing & Drainage Sundries
59051,Electrical Sundries
25614,Sanitary Ware
38570,Plumbing & Drainage Sundries
38570,Sanitary Ware
38570,Sanitary Ware
59051,Plumbing & Drainage Sundries
59051,Electrical Sundries
59051,Sanitary Ware
59051,Plumbing & Drainage Sundries
59051,Plumbing & Drainage Sundries
59051,Sanitary Ware
59051,Plumbing & Drainage Sundries
59051,Plumbing & Drainage Sundries
59051,Electrical Sundries
59051,Plumbing & Drainage Sundries
59051,Plumbing & Drainage Sundries
59051,Plumbing & Drainage Sundries
59051,Plumbing & Drainage Sundries
59051,Electrical Sundries
59051,Plumbing & Drainage Sundries
59051,Plumbing & Drainage Sundries
59051,Electrical Sundries
59051,Electrical Sundries
59201,Diesel & Petrol
38941,Driver
37875,Skilled Labour
37875,Skilled Labour
59212,Office Consumables
37875,Skilled Labour
59051,Office Expenses
56244,Office Consumables
25681,Garbage Removal
59051,Refreshments
59051,Office Consumables
59051,Office Consumables
25614,Other Expenses
25614,Office Expenses
59051,Office Consumables
59051,HSE
59051,Office Consumables
59051,Shuttering Carpentry Sundries
59031,Formwork
38570,Cement
59051,Formwork
59051,Waterproofing Sundries
33129,Ceramic & Porcelain
29559,Electrical Sundries
28963,Electrical Sundries
28886,Switchgear
25703,Cables & Wires
25686,HVAC
27429,HVAC
29186,ELV
32420,Plumbing
29559,Electrical Sundries
28963,Cables & Wires
