Name,Supplier ID,Phone,Address,Email Address,Group
Aamaal Ready Mix,10101,+974 4460 3939,,,10
Teyseer Bldg. Materials and Transport Co.,10102,+974 4460 1583,P.O. Box: 4333,info@tayseerbm.com,10
Al Ghorairi and Partners,10103,+974 4432 4959,,,10
Al-Maddad Al-Qatria Co,10104,+974 4498 1004,,,10
Al-Muftah Ready Mix,10105,+974 4450 6588,,,10
Al-Najjar Store,10106,+974 4442 3348,,,10
Al-Obaidly Ceramics Co.,10107,+974 4458 2500,P.O. Box: 3678,info@alobaidly-group.com,10
Al-Rayyan Block Factory,10108,+974 4490 1939,,,10
Al-Sabeel Buildiing Materials Trdg,10109,+974 4431 2987,,,10
Abdul Hameed Abdul Rahim and Asad Co,10110,+974 4442 3312,,,30
Amana Steel,10111,+974 4401 6222,,,10
Nehmeh Corporation LLC,10112,+974 4434 3000,P.O. Box: 99,info@nehmeh.com,10
Arabian Mix Co,10113,+974 4451 6910,,,10
Athens Granite and Marble Co,10114,+974 4460 4933,,,10
Bin-Al-Sheikh Tradg. Est,10115,+974 4450 3928,,,10
CMC Qatar,10116,+974 4469 9833,,,10
Dhafir Switchgear,10117,+974 4476 3878,,,10
Doha Takaful,10118,+974 4429 2777,,,10
El-Sewedy Cable,10119,+974 4455 3043,,,10
Fair Trade Qatar,10120,+974 4451 3000,,,10
Falcon Ready Mix Co,10121,+974 4490 3080,,,10
Global Electric Co,10122,+974 4015 0723,,,10
Gulf Lights Electr. and Engineering,10123,+974 4469 9683,P.O. Box: 2071,info@gulflights.com,10
Gulf Switchgears Co,10124,+974 4450 2467,P.O. Box: 40467,thaha@gulfswitchgears.com,10
Hasenesco Block Factory,10125,+974 4468 1259,,,10
Hempel Paints,10126,+974 4455 9000,P.O. Box: 3484,adminqa@hempel.com,10
Heritage Furniture,10127,+974 4432 6699,,,10
Hussain Fikri Sons Tradg. Co,10128,+974 4458 3999,,,10
Khalid CementIndustries Complex,10129,+974 4450 1111,,,10
Khalifa Steel Industries Co,10130,+974 4444 1112,P.O. BOX: 24343,shafeek@khalifasteel.com,10
Marine Trading & Contracting Co.,10131,+974 4442 8334,P.O. Box: 399,office@marineqatar.com,10
Masa Lifts,10132,+974 4005 4300,,,10
Mohd. Yousuf Kafood & Sons. Trad. & Cont. Co.,10133,+974 4465 7777,P.O. Box: 3244,kafoodco@qatar.net.qa,10
Nabina Building Materials,10134,+974 4465 2345,P.O. Box: 130,building.materials@nabina.com,10
National Rebar Formation Factory,10135,+974 4466 9037,,,10
Qaser Al Andalus Co,10136,+974 4460 4337,,,10
Qatar Building Co,10137,+974 4460 0365,P.O. Box: 40311,info@qbcqatar.com.qa,10
Qatar Clay Bricks Co,10138,+974 4460 3157,,,10
Qatar Islamic Insurance,10139,+974 4465 8888,P.O. Box: 22676,qiic@qatar.net.qa,10
Qatar National Cement Co,10140,+974 4469 3800,P.O. Box: 1333,qatarcement@qatar.net.qa,10
Rabban Ready Mix,10141,+974 4460 0380,,,10
Smeet Ready Mix,10142,+974 4491 1300,P.O. Box: 32535,info@smeet.com.qa,10
Spartan Ready Mix and Tiles Co,10143,+974 4460 1109,,,10
Techno Light,10144,+974 4469 6418,,,10
Gold Leaf,10145,+974 3379 9804,,,10
Gulf Flag Co. W.L.L,10146,+974 4460 0508,P.O. Box: 40017,info@gulfflag.com,10
Conexion,10147,+974 4469 7523,,Info@conxionlogistics.com,10
Arab Center for Engineering Studies,10148,+974 4487 0141,P.O.Box: 19579,acesdoha@aces-int.com,10
EBMC,10149,+974 4419 9888,,,10
Delta Business Systems,10150,+974 4436 0828,,,10
Hilti Qatar W.L.L,10151,+974 4406 3600,P.O. Box: 24097,info@hilti.com.qa,10
Al Able Trading and Contracting,10152,+974 4005 4343,P.O. Box: 35166,info@alable.net,10
MTC Surveys,10153,+974 4465 4414,,,10
Al Maram International Co.,10154,+974 4436 6685,,,10
Construction Computer Software,10155,,,,10
Mohamed Abdulrahman Al-Bahar,10156,+974 4015 9555,P.O. Box: 2171,info@albahar.com,10
Zenith Technical Services W.L.L.,10157,,,,10
Green Hill Electrical Equipment store,10158,,,,10
KG Plastic,10159,+974 4411 4320,P.O. Box:  37461,info@alkhayarinplastic.com,10
Lemax Electrical & Mechanical Trading,10160,+974 4469 9756,P.O. Box: 82734,sales@lemacgcc.com,10
Trans Power,10161,+974 4481 2702,P.O. Box: 80533,transpower@tqptr.com,10
Concorde Hotel,10162,+974 4407 3333,P.O. Box: 200000,info@concorde.com,10
Epic international,10163,,,,10
Gulf Laboratories Co.,10164,+974 4460 7034,P.O. Box: 4024,gulflabs@mannai.com.qa,10
Blue Ribbon,10165,,,hr.brdoha@gmail.com,10
Teyseer Industrial Supplies and Services (TISCO),10166,+974 4458 5464,P.O. Box: 40523,tissco@tissco-qatar.com,10
Qatari Home Design & Engineering Consultants,10167,+974 4443 8800,P.O. Box: 7825,qatarihome@qatarihome.com,10
Al Muftah Interiors,10168,,,Interiors@almuftah.com,10
IBA Real Estate,10169,+974 4040 3535,P.O. Box: 15,maintenance@iba.com.qa,10
Alba Engineering Service,10170,,,info@albagenerators.com,10
Doha Insurance,10171,,,,10
Qatar Indo Fabs,10172,,,,10
Al-Mwada Building Material Co.,10173,,,,10
D.C.S Trading and Services,10174,,,dcstrading@hotmail.com,10
Al Kindi Trading Est.,10175,,,,10
Quarry King Marble and Granite Co.,10176,+974 4460 3876,P.O. Box: 18576,kabeerhussain5@gmail.com,10
Eiffel Furniture,10177,,,,10
Elite Middle East,10178,,,elitemea@gmail.com,10
IBA Aluminium,10179,+974 4460 0258,P.O. Box: 15,aluminium@iba.com.qa,10
Chip Qatar Solution,10180,,,info@chipqatar.com,10
Almana Computer Services,10182,,,infor.acs@almanagroup.com,10
Al-Kholaifi Trading Co.,10183,+974 4451 6622,P.O. Box: 301,kholaifi@qatar.net.qa,10
ITCC-Imperial Trading and Contracting Company,10184,+974 4414 2276,P.O. Box: 23665,trading@itccnet.com,10
Genie Light,10185,,,,10
"Ultimate Trading, Building Materials & Supplies Co",10186,+974 4436 6576,P.O Box: 24499,info@ultimate-qatar.com,10
Larkspur Group,10187,,,larkspurqatar@gmail.com,10
Ultra Light,10188,,,ultralight@ultra-light.net,10
I B A Stailess Steel,10189,,,,10
Al Baqali Automatic Doors,10190,+974 4468 4280,P.O. Box: 10768,Info@albaqali.net,10
Emirates Kitchen Equipment,10191,,,ekekitcn@gmail.com,10
Guilf Carpet Factory,10192,,,,10
Vedeo Home - LG,10193,,,,10
Al-Feroz International Trading,10194,+974 4432 1909,P.O. Box: 22613,electrical@alferozqatar.com,10
Al-Emadi Enterprises,10195,,,alemadi@alemadi.com.qa,10
Capital Trading Est.,10196,+974 4443 5576,P.O. Box: 1017,Info@capitaltrading.co,10
Alba Generators,10197,,,Info@albageneras.com,10
IBA Interiors,10198,+974 4460 0511,P.O. Box: 15,interiors@iba.com.qa,10
Sourcing Point Trading and Contracting,10199,,,stqatar@outlook.com,10
Samtech Switchgear & Automation Technologies Co.,10200,+974 4434 2148,P.O. Box: 15104,info@samtechqa.com,10
Al Asas Factories,10201,+974 4460 0088,P.O. Box: 9115,emarat.blocks@yahoo.com,10
Maysaloon Engineering Co.,10202,+974 4442 8763,P.O. Box: 75182,info@maysaloonqatar.net,10
Al-Thuraya International,10203,,,,10
Lulu Paints Center,10204,+974 4443 2805,P.O. Box: 14061,lulupaintsc@gmail.com,10
Al Farraj Electrical Engineering,10205,,,,10
Al Misnad,10206,,,,10
Al-Ain Contracting,10208,,,,10
Madar Building Materials,10209,+974 4460 4333,P.O. Box: 24322,bmse3.qa@madar.com,10
Mection Qatar - Man Power,10210,,,,10
Mohammed Abdullah Al-Jassem General Contracting,10211,,,aljassemgeneral@gmail.com,10
Gulf Concrete Products,10212,+974 4450 0303,P.O. Box: 1391,gcpqatar@yahoo.com,10
Derbas Decor and General Maintenance,10213,,,darbasdecor@gmail.com,10
Field Industrial Supplies,10214,+974 4436 7839,P.O. Box: 55735,operations@fis.com.qa,10
Innovation Renewable Energy,10215,,,,10
Manar Al - Omran,10216,,,,10
Qatar Internatiol Electrical Co.,10217,+974 4450 1119,P.O. BOX: 24560,sales@qiecoqatar.com,10
Pal Mixx Quality Plaster And Morter,10218,,,Inf@plamixx.com,10
Medford Trading W.L.L,10219,+974 4411 6111,P.O. Box: 3541,info@medfordtrading.com,10
Al - Andalus Marble Decor And Granite Co.,10220,+974 4416 0361,P.O. Box: 30960,alandalusmarble@yahoo.com,10
Sports Corner,10221,,,,10
Marafeq Qatar,10222,+974 4012 0120,P.O. Box: 5651,info@marafeq.com.qa,10
Sea Gulf For Equipment Co.,10223,,,info@seagulfequipment.com,10
Jubaili Bros. W.L.L,10224,+974 4416 0121,P.O. Box: 201857,jbqatar@jubailibros.com,10
Almuftah Polymer W.L.L,10225,+974 4411 4325,P.O. Box: 875,polymer@almuftah.com,10
Al - Sahoo Trading Co.,10226,+974 4469 6226,P.O Box: 23446,info-qa@alsahoogroup.com,10
Zeeman Services Solution,10227,+974 4408 7444,P.O. Box: 30747,sidhesh@zeemanqatar.com,10
Qatar Design Consortium,10228,,,mail@qdcqatar.net,10
Mantect Office Systems,10229,,,,10
59 Real Estate,10230,+974 4040 3535,P.O. Box: 15,59re@iba.com.qa,10
Morden Construction & Supplies,10231,+974 4037 4324,P.O. Box: 13090,info@mordenscaff.com,10
Al Amodi Group,10232,,,info@alamodigroup.com.qa,10
Goodwin Qatar W.L.L,10233,+974 4468 2225,P.O. BOX: 13066,infor@goodwinqatar.com,10
Qatar Fuel (WOQOD),10234,+974 4021 7777,P.O. Box: 7777,customerservice@woqod.com.qa,10
Al Tofei Trading,10235,+974 4432 8403,P.O. Box: 16545,info@qatar-atc.com,10
Al Hamad Automobiles Co. W.L.L,10236,+974 4450 1247,31531,info@alhamadautomobiles.com,10
Mohamed Saber,10238,+974 7030 1091,P.O. Box: -,-,10
Abdel Latif,10239,+974 3099 8834,P.O. Box: -,-,10
ALNAHA FOR TRADING & CONTRACTING,10240,+974 3352 6809,P.O. Box: 9998,-,10
Al Shark Sanitary Ware Co.,10241,,,shark4595@yahoo.com,10
Felix Construction Co. W.L.L,10242,+974 4442 1650,P.O. Box: 11536,fcc@felixgroup-qatar.com,10
Al Obaidly Trading & Services W.L.L.,10243,+974 4437 8929,P.O. Box: 13964,sales@aotsqatar.com,10
Security & Safety Solutions for Security Services,10244,+974 4491 9121,P.O. Box:23047,mitani@ssileb.com,10
Don Construction Products - Qatar W.L.L,10245,+974 4411 4004,P.O. Box: 24839,Hesham.Azouz@dcp-int.com,10
Venture Global W.L.L,10246,,,mc2@vgtech.com.qa,10
Union Trading Center,10247,+974 4444 6443,P.O. Box: 546,utc.qatar@yahoo.com,10
Saad Bin Majid Trading Co. W.L.L,10248,+974 4450 2074,P.O. Box: 16088,sbmco88@yahoo.com,10
Concord International Import Export Co.,10249,,,,10
BBMC Building Materials Co.,10250,+974 4432 6000,P.O Box: 20081,salesqatar@bbmcgroup.com,10
Al Emadi Travels,10251,,,alemaditravels @gmail.com,10
Danube Building Materials Co.,10252,,,najmasales@aldanube.com,10
Al Baraha Engineering Consultant,10253,,,info@bec.com.qa,10
MTO MWATN Transport Office,10254,,P.O. Box 200505,,10
AL WATANIA STEEL QATAR,10255,+974 4411 4774,P.O. BOX:37519/8019,saleh_mubarak@alwataniagroup.com.qa,10
AL-QATARIA FOR IND. STEEL WLL,10256,+974 44605353,Street 10 Building 357 Zone 57 Industrial Area,sales@alqatariasteel.com,10
MAVEN TRADING & INSTALLATION WLL,10257,+974 4482 3778,"Office #509, Building No. 113, Street 220, Zone 25",sales1@maven-trading.com,10
True Link Trading and Contracting WLL,10258,+974 7733 4127,New Souq Al Haraj Al Wakara,qa.truelink@gmail.com,39
Gulf Neon Advertising & Gift items,11214,+974 4437 2160,P.O. Box: 3460,gulf.neon@gmail.com,10
Gather Tradind W.L.L,11215,,,gathertrading@gmail.com,10
Jasim Nema Blocks Factory,11216,+974 4460 0159,P.O. Box: 23,-,10
Al Majaz Information Technology Consultants,11217,+974 4465 9111,P.O. Box: 13444,info@almajaz.com,10
Boom Treatment Company,11218,,,info@boomwaste.com,10
Jaidah Motors Trading Co. W.L.L,11219,+974 4463 8854,P.O. Box: 150,electrical@jaidah.com.qa,10
Mary for Cleaning Pest Control and Trad,11220,+974 4468 9399,P.O. Box: 1625,maryqatar777@gmail.com,10
Torch Engineering and Trading Co.,11221,+974 4435 3278,P.O. Box: 45708,abdulaziz@torcheng.com,10
Al Hamadi Trading-Qatar Prefab,11222,,,info@alhamadigroup.com,10
Professional Partners Trading S.P.C,11223,+974 4437 3131,P.O. Box: 3787,info@ppt.com.qa,10
Mechelec Intl Trading W.L.L,11224,+974 4444 1194,P.O. Box: 31948,info@mechelecwll.com,10
Al Safa Mechanical and Electrical Tools,11225,,,,10
Telephony Communication Technologies,11226,,,sales@telephonyme.com,10
Technology Solution Provider W.L.L,11227,,,info@tspqatar.com,10
Printek Computers W.L.L,11228,+974 4441 4717,P.O. Box: 37152,deltabs@qatar.net.qa,10
Texon Trading and Contracting,11229,+974 4431 0265,P.O. Box: 20566,sales@texontrading.com,10
Qatar Paving Stones,11230,+974 4402 7111,P.O. Box: 40611,qatarpavingstones@,10
Printer Garage,11231,+974 5514 7953,P.O. Box:12481,helpdesk@printer-garage.com,10
Al Baud Technology Co. W.L.L,11232,+974 4458 1259,P.O. Box: 63858,marketing@albaud.com,10
Profixo Trading and Contracting W.L.L,11233,+974 4039 6133,P.O. Box: 15250,profixoqatar@gmail.com,10
Middle East Industry Tiles and Block Co. W.L.L,11234,+974 4460 0046,P.O. Box: 2012,mohamad.yaqoud@gmail.com,10
Jama Marble and Granite Co.,11235,,,,10
Ceramic World,11236,,,,10
Aslak Trading & General Contracting,11237,+974 3305 3196,P.O. Box: 17202,mohammedbelalmih@gmail.com,10
Al Nemir Trading and Contracting,11238,+974 4411 5442,P.O. Box: 9129,sales@alnemir.com,10
Light Wave Zone Trading and Electrical Contracting,11239,,,,10
Qatar General Electricity & Water Corporation,11240,991,P.O. Box: 41,customercare@km.qa,10
Al-Ta'adhod Group Trading & Contracting,11241,+974 4041 2222,P.O. Box: 11764,a.abushanab@altaadhod.com,10
Unitech Qatar,11242,+974 4451 3301,P.O. Box: 23910,mohammad.sadek@unitech-qatar.com,10
Selection Trading W.L.L,11243,+974 3055 6311,P.O. Box: 989,info@selectiontrading.com,10
Abdulla Abdulrahman Obaidan Fakhroo Sons Trade Co.,11244,+974 4437 0909,P.O. Box: 413,sales@aaofakhroo.com.qa,10
